"sample_id","chr","start","end","read.count"
"SRR5398216","1",109579203,109582565,7
"SRR5398215","1",109579203,109582565,3
"SRR5398214","1",109579203,109582565,4
"SRR5398218","1",109579203,109582565,3
"SRR5398213","1",111456085,111456755,1
"SRR5398216","1",111456085,111456755,4
"SRR5398213","1",117402185,117414831,12
"SRR5398217","1",117402185,117414831,38
"SRR5398216","1",117402185,117414831,193
"SRR5398215","1",117402185,117414831,23
"SRR5398214","1",117402185,117414831,40
"SRR5398218","1",117402185,117414831,16
"SRR5398213","1",117402185,117420649,9
"SRR5398217","1",117402185,117420649,29
"SRR5398216","1",117402185,117420649,174
"SRR5398215","1",117402185,117420649,18
"SRR5398214","1",117402185,117420649,17
"SRR5398218","1",117402185,117420649,13
"SRR5398213","1",117460488,117502970,1
"SRR5398217","1",117460488,117502970,7
"SRR5398216","1",117460488,117502970,29
"SRR5398214","1",117460488,117502970,7
"SRR5398218","1",117460488,117502970,2
"SRR5398213","1",145839889,145841071,2
"SRR5398217","1",145839889,145841071,15
"SRR5398216","1",145839889,145841071,35
"SRR5398215","1",145839889,145841071,3
"SRR5398214","1",145839889,145841071,2
"SRR5398218","1",145839889,145841071,3
"SRR5398213","1",147275353,147285487,1
"SRR5398217","1",147275353,147285487,5
"SRR5398216","1",147275353,147285487,4
"SRR5398215","1",147275353,147285487,1
"SRR5398214","1",147275353,147285487,5
"SRR5398213","1",151017811,151018669,1
"SRR5398217","1",151017811,151018669,4
"SRR5398214","1",151017811,151018669,1
"SRR5398213","1",151236557,151236763,4
"SRR5398217","1",151236557,151236763,3
"SRR5398216","1",151236557,151236763,11
"SRR5398214","1",151236557,151236763,2
"SRR5398218","1",151236557,151236763,4
"SRR5398213","1",151658234,151658427,2
"SRR5398217","1",151658234,151658427,1
"SRR5398216","1",151658234,151658427,7
"SRR5398215","1",151658234,151658427,1
"SRR5398218","1",151658234,151658427,7
"SRR5398213","1",151658234,151668635,1
"SRR5398217","1",151658234,151668635,1
"SRR5398216","1",151658234,151668635,19
"SRR5398214","1",151658234,151668635,3
"SRR5398218","1",151658234,151668635,1
"SRR5398213","1",151658234,151693039,1
"SRR5398213","1",152248894,152251758,1
"SRR5398217","1",152248894,152251758,1
"SRR5398216","1",152248894,152251758,2
"SRR5398215","1",152248894,152251758,1
"SRR5398213","1",153762727,153765063,1
"SRR5398213","1",154234590,154237136,1
"SRR5398213","1",155721516,155726019,5
"SRR5398217","1",155721516,155726019,9
"SRR5398216","1",155721516,155726019,20
"SRR5398215","1",155721516,155726019,2
"SRR5398214","1",155721516,155726019,10
"SRR5398218","1",155721516,155726019,7
"SRR5398213","1",155725381,155726019,7
"SRR5398217","1",155725381,155726019,27
"SRR5398216","1",155725381,155726019,43
"SRR5398215","1",155725381,155726019,11
"SRR5398214","1",155725381,155726019,10
"SRR5398218","1",155725381,155726019,31
"SRR5398213","1",155725381,155727738,1
"SRR5398217","1",155725381,155727738,2
"SRR5398216","1",155725381,155727738,4
"SRR5398218","1",155725381,155727738,2
"SRR5398213","1",161778243,161784096,7
"SRR5398217","1",161778243,161784096,6
"SRR5398216","1",161778243,161784096,18
"SRR5398215","1",161778243,161784096,8
"SRR5398214","1",161778243,161784096,7
"SRR5398218","1",161778243,161784096,13
"SRR5398213","1",171523220,171524965,3
"SRR5398217","1",171523220,171524965,3
"SRR5398216","1",171523220,171524965,7
"SRR5398215","1",171523220,171524965,2
"SRR5398213","1",173774304,173775842,1
"SRR5398213","1",173826686,173830761,1
"SRR5398213","1",173831534,173840973,1
"SRR5398213","1",178776681,178785607,2
"SRR5398217","1",178776681,178785607,1
"SRR5398216","1",178776681,178785607,1
"SRR5398215","1",178776681,178785607,2
"SRR5398214","1",178776681,178785607,1
"SRR5398213","1",179335505,179337896,1
"SRR5398215","1",179335505,179337896,1
"SRR5398213","1",183515873,183515991,1
"SRR5398213","1",186390710,186391791,2
"SRR5398217","1",186390710,186391791,6
"SRR5398216","1",186390710,186391791,10
"SRR5398215","1",186390710,186391791,9
"SRR5398214","1",186390710,186391791,8
"SRR5398218","1",186390710,186391791,7
"SRR5398213","1",198277960,198297240,2
"SRR5398217","1",198277960,198297240,3
"SRR5398216","1",198277960,198297240,10
"SRR5398215","1",198277960,198297240,3
"SRR5398214","1",198277960,198297240,2
"SRR5398213","1",200760838,200761098,6
"SRR5398217","1",200760838,200761098,6
"SRR5398216","1",200760838,200761098,14
"SRR5398215","1",200760838,200761098,5
"SRR5398214","1",200760838,200761098,3
"SRR5398218","1",200760838,200761098,1
"SRR5398213","1",201817087,201817285,2
"SRR5398217","1",201817087,201817285,7
"SRR5398216","1",201817087,201817285,3
"SRR5398215","1",201817087,201817285,2
"SRR5398214","1",201817087,201817285,2
"SRR5398218","1",201817087,201817285,5
"SRR5398213","1",203816925,203818689,2
"SRR5398217","1",203816925,203818689,3
"SRR5398216","1",203816925,203818689,22
"SRR5398215","1",203816925,203818689,3
"SRR5398214","1",203816925,203818689,4
"SRR5398218","1",203816925,203818689,1
"SRR5398213","1",203861713,203862194,1
"SRR5398216","1",203861713,203862194,1
"SRR5398213","1",209830107,209831043,4
"SRR5398216","1",209830107,209831043,2
"SRR5398215","1",209830107,209831043,3
"SRR5398218","1",209830107,209831043,2
"SRR5398213","1",212883370,212885396,2
"SRR5398214","1",212883370,212885396,2
"SRR5398213","1",213077695,213117410,4
"SRR5398217","1",213077695,213117410,17
"SRR5398216","1",213077695,213117410,46
"SRR5398215","1",213077695,213117410,9
"SRR5398214","1",213077695,213117410,15
"SRR5398218","1",213077695,213117410,4
"SRR5398213","1",223744099,223745439,2
"SRR5398217","1",223744099,223745439,1
"SRR5398216","1",223744099,223745439,1
"SRR5398214","1",223744099,223745439,2
"SRR5398218","1",223744099,223745439,2
"SRR5398213","1",226891277,226891844,1
"SRR5398213","1",236168705,236183906,2
"SRR5398217","1",236168705,236183906,2
"SRR5398216","1",236168705,236183906,6
"SRR5398215","1",236168705,236183906,1
"SRR5398214","1",236168705,236183906,2
"SRR5398213","1",245602576,245646280,2
"SRR5398213","1",246621428,246634587,1
"SRR5398217","1",246621428,246634587,3
"SRR5398216","1",246621428,246634587,5
"SRR5398213","1",246726891,246740301,1
"SRR5398217","1",246726891,246740301,9
"SRR5398216","1",246726891,246740301,21
"SRR5398215","1",246726891,246740301,5
"SRR5398214","1",246726891,246740301,12
"SRR5398213","10",179993,249088,1
"SRR5398214","10",179993,249088,7
"SRR5398218","10",179993,249088,1
"SRR5398213","10",3118781,3120044,12
"SRR5398217","10",3118781,3120044,5
"SRR5398216","10",3118781,3120044,14
"SRR5398215","10",3118781,3120044,6
"SRR5398214","10",3118781,3120044,5
"SRR5398218","10",3118781,3120044,13
"SRR5398213","10",3118781,3135838,1
"SRR5398213","10",5709529,5712918,1
"SRR5398217","10",5709529,5712918,1
"SRR5398216","10",5709529,5712918,14
"SRR5398215","10",5709529,5712918,1
"SRR5398214","10",5709529,5712918,2
"SRR5398213","10",7797046,7802854,12
"SRR5398217","10",7797046,7802854,71
"SRR5398216","10",7797046,7802854,217
"SRR5398215","10",7797046,7802854,1
"SRR5398214","10",7797046,7802854,37
"SRR5398218","10",7797046,7802854,16
"SRR5398213","10",12215739,12217467,1
"SRR5398213","10",27165063,27165539,2
"SRR5398217","10",27165063,27165539,2
"SRR5398216","10",27165063,27165539,7
"SRR5398214","10",27165063,27165539,3
"SRR5398218","10",27165063,27165539,1
"SRR5398213","10",30447781,30450519,1
"SRR5398214","10",30447781,30450519,2
"SRR5398213","10",30450257,30450519,1
"SRR5398217","10",30450257,30450519,5
"SRR5398216","10",30450257,30450519,4
"SRR5398214","10",30450257,30450519,3
"SRR5398218","10",30450257,30450519,2
"SRR5398213","10",31373017,31387266,9
"SRR5398217","10",31373017,31387266,23
"SRR5398216","10",31373017,31387266,43
"SRR5398215","10",31373017,31387266,1
"SRR5398214","10",31373017,31387266,3
"SRR5398218","10",31373017,31387266,4
"SRR5398213","10",31373017,31461237,11
"SRR5398217","10",31373017,31461237,23
"SRR5398216","10",31373017,31461237,109
"SRR5398218","10",31373017,31461237,16
"SRR5398213","10",31387123,31461237,1
"SRR5398217","10",31387123,31461237,4
"SRR5398216","10",31387123,31461237,8
"SRR5398218","10",31387123,31461237,2
"SRR5398213","10",32456250,32474023,2
"SRR5398213","10",32471063,32474023,1
"SRR5398217","10",32471063,32474023,7
"SRR5398216","10",32471063,32474023,13
"SRR5398214","10",32471063,32474023,5
"SRR5398213","10",45982522,45988847,2
"SRR5398217","10",45982522,45988847,11
"SRR5398216","10",45982522,45988847,21
"SRR5398214","10",45982522,45988847,8
"SRR5398218","10",45982522,45988847,3
"SRR5398213","10",49952125,49973142,1
"SRR5398216","10",49952125,49973142,7
"SRR5398214","10",49952125,49973142,1
"SRR5398213","10",49958369,49973142,1
"SRR5398213","10",68786135,68786692,4
"SRR5398217","10",68786135,68786692,6
"SRR5398216","10",68786135,68786692,29
"SRR5398215","10",68786135,68786692,9
"SRR5398214","10",68786135,68786692,11
"SRR5398218","10",68786135,68786692,2
"SRR5398213","10",70702311,70708778,1
"SRR5398217","10",70702311,70708778,1
"SRR5398218","10",70702311,70708778,1
"SRR5398213","10",72715110,72715902,4
"SRR5398217","10",72715110,72715902,13
"SRR5398216","10",72715110,72715902,57
"SRR5398215","10",72715110,72715902,10
"SRR5398214","10",72715110,72715902,15
"SRR5398218","10",72715110,72715902,24
"SRR5398213","10",79118914,79139777,1
"SRR5398215","10",79118914,79139777,9
"SRR5398213","10",80507227,80509471,1
"SRR5398217","10",80507227,80509471,1
"SRR5398216","10",80507227,80509471,3
"SRR5398215","10",80507227,80509471,14
"SRR5398214","10",80507227,80509471,1
"SRR5398218","10",80507227,80509471,2
"SRR5398213","10",84417770,84425893,18
"SRR5398217","10",84417770,84425893,88
"SRR5398216","10",84417770,84425893,120
"SRR5398215","10",84417770,84425893,52
"SRR5398214","10",84417770,84425893,52
"SRR5398218","10",84417770,84425893,65
"SRR5398213","10",84463932,84477664,2
"SRR5398217","10",84463932,84477664,2
"SRR5398216","10",84463932,84477664,24
"SRR5398215","10",84463932,84477664,1
"SRR5398214","10",84463932,84477664,2
"SRR5398218","10",84463932,84477664,2
"SRR5398213","10",91425280,91462184,3
"SRR5398217","10",91425280,91462184,6
"SRR5398216","10",91425280,91462184,23
"SRR5398214","10",91425280,91462184,2
"SRR5398218","10",91425280,91462184,6
"SRR5398213","10",94245945,94246621,3
"SRR5398217","10",94245945,94246621,4
"SRR5398216","10",94245945,94246621,15
"SRR5398214","10",94245945,94246621,4
"SRR5398218","10",94245945,94246621,1
"SRR5398213","10",94441895,94474783,3
"SRR5398217","10",94441895,94474783,22
"SRR5398216","10",94441895,94474783,25
"SRR5398215","10",94441895,94474783,4
"SRR5398214","10",94441895,94474783,7
"SRR5398218","10",94441895,94474783,14
"SRR5398213","10",96907264,96907747,16
"SRR5398217","10",96907264,96907747,52
"SRR5398216","10",96907264,96907747,179
"SRR5398215","10",96907264,96907747,71
"SRR5398214","10",96907264,96907747,22
"SRR5398218","10",96907264,96907747,75
"SRR5398213","10",100990435,100991010,2
"SRR5398217","10",100990435,100991010,3
"SRR5398218","10",100990435,100991010,1
"SRR5398213","10",102797992,102810054,1
"SRR5398213","10",102872447,102873233,1
"SRR5398217","10",102872447,102873233,1
"SRR5398216","10",102872447,102873233,6
"SRR5398218","10",102872447,102873233,6
"SRR5398213","10",114970367,114974385,6
"SRR5398217","10",114970367,114974385,10
"SRR5398216","10",114970367,114974385,39
"SRR5398215","10",114970367,114974385,21
"SRR5398214","10",114970367,114974385,5
"SRR5398218","10",114970367,114974385,8
"SRR5398213","10",120513910,120521095,5
"SRR5398213","10",127052680,127061776,3
"SRR5398217","10",127052680,127061776,4
"SRR5398216","10",127052680,127061776,1
"SRR5398214","10",127052680,127061776,1
"SRR5398218","10",127052680,127061776,10
"SRR5398213","10",127125473,127127764,2
"SRR5398215","10",127125473,127127764,2
"SRR5398213","11",755878,760253,2
"SRR5398216","11",755878,760253,12
"SRR5398215","11",755878,760253,2
"SRR5398214","11",755878,760253,7
"SRR5398213","11",7994517,7994944,1
"SRR5398213","11",9420410,9425262,1
"SRR5398217","11",9420410,9425262,1
"SRR5398216","11",9420410,9425262,13
"SRR5398214","11",9420410,9425262,1
"SRR5398218","11",9420410,9425262,3
"SRR5398213","11",11880176,11897693,1
"SRR5398217","11",11880176,11897693,2
"SRR5398216","11",11880176,11897693,3
"SRR5398213","11",33286412,33287511,14
"SRR5398217","11",33286412,33287511,184
"SRR5398216","11",33286412,33287511,1593
"SRR5398215","11",33286412,33287511,4
"SRR5398214","11",33286412,33287511,67
"SRR5398218","11",33286412,33287511,79
"SRR5398213","11",34071725,34076642,3
"SRR5398217","11",34071725,34076642,9
"SRR5398216","11",34071725,34076642,50
"SRR5398214","11",34071725,34076642,8
"SRR5398218","11",34071725,34076642,1
"SRR5398213","11",34076235,34076642,1
"SRR5398217","11",34076235,34076642,3
"SRR5398216","11",34076235,34076642,2
"SRR5398215","11",34076235,34076642,1
"SRR5398214","11",34076235,34076642,2
"SRR5398213","11",34931403,34960518,2
"SRR5398216","11",34931403,34960518,2
"SRR5398214","11",34931403,34960518,1
"SRR5398213","11",43750910,43754121,1
"SRR5398214","11",43750910,43754121,2
"SRR5398213","11",47161190,47161438,2
"SRR5398215","11",47161190,47161438,1
"SRR5398218","11",47161190,47161438,2
"SRR5398213","11",47216335,47232959,2
"SRR5398213","11",61437624,61438113,7
"SRR5398217","11",61437624,61438113,23
"SRR5398216","11",61437624,61438113,106
"SRR5398215","11",61437624,61438113,12
"SRR5398214","11",61437624,61438113,8
"SRR5398218","11",61437624,61438113,31
"SRR5398213","11",61437624,61446231,1
"SRR5398217","11",61437624,61446231,1
"SRR5398213","11",63895158,63895633,1
"SRR5398216","11",63895158,63895633,4
"SRR5398215","11",63895158,63895633,4
"SRR5398214","11",63895158,63895633,2
"SRR5398218","11",63895158,63895633,4
"SRR5398213","11",66063627,66063729,1
"SRR5398216","11",66063627,66063729,7
"SRR5398215","11",66063627,66063729,1
"SRR5398213","11",67433194,67433307,1
"SRR5398213","11",68583042,68596218,1
"SRR5398217","11",68583042,68596218,1
"SRR5398216","11",68583042,68596218,4
"SRR5398215","11",68583042,68596218,1
"SRR5398214","11",68583042,68596218,1
"SRR5398218","11",68583042,68596218,1
"SRR5398213","11",70354300,70356254,5
"SRR5398217","11",70354300,70356254,8
"SRR5398216","11",70354300,70356254,32
"SRR5398215","11",70354300,70356254,10
"SRR5398214","11",70354300,70356254,23
"SRR5398218","11",70354300,70356254,4
"SRR5398213","11",70422939,70429199,1
"SRR5398216","11",70422939,70429199,3
"SRR5398214","11",70422939,70429199,1
"SRR5398213","11",71995449,71995551,2
"SRR5398217","11",71995449,71995551,2
"SRR5398216","11",71995449,71995551,7
"SRR5398215","11",71995449,71995551,2
"SRR5398214","11",71995449,71995551,1
"SRR5398218","11",71995449,71995551,12
"SRR5398213","11",73909398,73909593,1
"SRR5398213","11",87067693,87071615,1
"SRR5398217","11",87067693,87071615,3
"SRR5398216","11",87067693,87071615,2
"SRR5398215","11",87067693,87071615,2
"SRR5398214","11",87067693,87071615,2
"SRR5398218","11",87067693,87071615,9
"SRR5398213","11",87302295,87306005,1
"SRR5398214","11",87302295,87306005,1
"SRR5398218","11",87302295,87306005,1
"SRR5398213","11",102075872,102081281,1
"SRR5398217","11",102075872,102081281,8
"SRR5398216","11",102075872,102081281,11
"SRR5398215","11",102075872,102081281,1
"SRR5398218","11",102075872,102081281,6
"SRR5398213","11",102362895,102368548,7
"SRR5398217","11",102362895,102368548,14
"SRR5398216","11",102362895,102368548,39
"SRR5398215","11",102362895,102368548,1
"SRR5398214","11",102362895,102368548,9
"SRR5398218","11",102362895,102368548,6
"SRR5398213","11",114402827,114405799,2
"SRR5398213","11",117159933,117161261,1
"SRR5398217","11",117159933,117161261,1
"SRR5398215","11",117159933,117161261,2
"SRR5398213","11",117159933,117163892,3
"SRR5398217","11",117159933,117163892,5
"SRR5398216","11",117159933,117163892,35
"SRR5398215","11",117159933,117163892,3
"SRR5398218","11",117159933,117163892,8
"SRR5398213","11",117279907,117280259,2
"SRR5398217","11",117279907,117280259,5
"SRR5398216","11",117279907,117280259,18
"SRR5398215","11",117279907,117280259,2
"SRR5398214","11",117279907,117280259,4
"SRR5398218","11",117279907,117280259,8
"SRR5398213","11",120474559,120477526,6
"SRR5398217","11",120474559,120477526,41
"SRR5398216","11",120474559,120477526,148
"SRR5398215","11",120474559,120477526,2
"SRR5398214","11",120474559,120477526,26
"SRR5398218","11",120474559,120477526,11
"SRR5398213","11",120475339,120477526,2
"SRR5398217","11",120475339,120477526,5
"SRR5398216","11",120475339,120477526,33
"SRR5398214","11",120475339,120477526,8
"SRR5398218","11",120475339,120477526,6
"SRR5398213","11",121045673,121053732,2
"SRR5398217","11",121045673,121053732,5
"SRR5398216","11",121045673,121053732,6
"SRR5398213","11",128758114,128772985,2
"SRR5398217","11",128758114,128772985,2
"SRR5398216","11",128758114,128772985,6
"SRR5398213","12",1289851,1290012,2
"SRR5398217","12",1289851,1290012,10
"SRR5398216","12",1289851,1290012,12
"SRR5398215","12",1289851,1290012,3
"SRR5398218","12",1289851,1290012,8
"SRR5398213","12",2486103,2512984,1
"SRR5398216","12",2486103,2512984,7
"SRR5398214","12",2486103,2512984,2
"SRR5398213","12",2820085,2821792,8
"SRR5398217","12",2820085,2821792,9
"SRR5398216","12",2820085,2821792,21
"SRR5398215","12",2820085,2821792,2
"SRR5398214","12",2820085,2821792,6
"SRR5398218","12",2820085,2821792,12
"SRR5398213","12",2922261,2930345,1
"SRR5398214","12",2922261,2930345,2
"SRR5398218","12",2922261,2930345,2
"SRR5398213","12",7064266,7065299,2
"SRR5398217","12",7064266,7065299,4
"SRR5398216","12",7064266,7065299,9
"SRR5398218","12",7064266,7065299,2
"SRR5398213","12",19253939,19255165,1
"SRR5398213","12",19343322,19348519,1
"SRR5398217","12",19343322,19348519,2
"SRR5398216","12",19343322,19348519,16
"SRR5398215","12",19343322,19348519,1
"SRR5398214","12",19343322,19348519,1
"SRR5398218","12",19343322,19348519,2
"SRR5398213","12",27368261,27368412,1
"SRR5398213","12",27368261,27370230,2
"SRR5398217","12",27368261,27370230,3
"SRR5398216","12",27368261,27370230,1
"SRR5398215","12",27368261,27370230,1
"SRR5398218","12",27368261,27370230,3
"SRR5398213","12",32607956,32611283,7
"SRR5398217","12",32607956,32611283,14
"SRR5398216","12",32607956,32611283,36
"SRR5398215","12",32607956,32611283,1
"SRR5398214","12",32607956,32611283,10
"SRR5398213","12",42374862,42387535,1
"SRR5398217","12",42374862,42387535,3
"SRR5398216","12",42374862,42387535,7
"SRR5398215","12",42374862,42387535,1
"SRR5398214","12",42374862,42387535,2
"SRR5398213","12",50427761,50435624,2
"SRR5398217","12",50427761,50435624,1
"SRR5398216","12",50427761,50435624,3
"SRR5398213","12",51049033,51058128,1
"SRR5398213","12",52237508,52241636,1
"SRR5398213","12",52241471,52243137,1
"SRR5398213","12",53033805,53037622,2
"SRR5398216","12",53033805,53037622,1
"SRR5398215","12",53033805,53037622,2
"SRR5398213","12",53276619,53277227,1
"SRR5398215","12",53276619,53277227,1
"SRR5398214","12",53276619,53277227,1
"SRR5398213","12",53455884,53459403,1
"SRR5398217","12",53455884,53459403,1
"SRR5398213","12",56224833,56225695,1
"SRR5398214","12",56224833,56225695,1
"SRR5398213","12",57498156,57498623,1
"SRR5398216","12",57498156,57498623,6
"SRR5398215","12",57498156,57498623,1
"SRR5398213","12",64484302,64486017,2
"SRR5398217","12",64484302,64486017,9
"SRR5398216","12",64484302,64486017,17
"SRR5398215","12",64484302,64486017,2
"SRR5398218","12",64484302,64486017,1
"SRR5398213","12",66209455,66217235,3
"SRR5398217","12",66209455,66217235,7
"SRR5398216","12",66209455,66217235,22
"SRR5398214","12",66209455,66217235,1
"SRR5398213","12",68650399,68654252,6
"SRR5398217","12",68650399,68654252,34
"SRR5398216","12",68650399,68654252,124
"SRR5398215","12",68650399,68654252,1
"SRR5398214","12",68650399,68654252,7
"SRR5398218","12",68650399,68654252,7
"SRR5398213","12",69800208,69801721,16
"SRR5398217","12",69800208,69801721,57
"SRR5398216","12",69800208,69801721,119
"SRR5398215","12",69800208,69801721,164
"SRR5398214","12",69800208,69801721,123
"SRR5398218","12",69800208,69801721,59
"SRR5398213","12",70278131,70311017,1
"SRR5398217","12",70278131,70311017,9
"SRR5398216","12",70278131,70311017,18
"SRR5398215","12",70278131,70311017,11
"SRR5398214","12",70278131,70311017,31
"SRR5398218","12",70278131,70311017,4
"SRR5398213","12",71880468,71885021,1
"SRR5398213","12",82857009,82857580,4
"SRR5398217","12",82857009,82857580,45
"SRR5398216","12",82857009,82857580,137
"SRR5398215","12",82857009,82857580,8
"SRR5398214","12",82857009,82857580,16
"SRR5398218","12",82857009,82857580,30
"SRR5398213","12",100204939,100205757,1
"SRR5398217","12",100204939,100205757,3
"SRR5398216","12",100204939,100205757,9
"SRR5398215","12",100204939,100205757,2
"SRR5398214","12",100204939,100205757,4
"SRR5398218","12",100204939,100205757,4
"SRR5398213","12",106825725,106860412,2
"SRR5398213","12",106842588,106860412,1
"SRR5398216","12",106842588,106860412,11
"SRR5398214","12",106842588,106860412,3
"SRR5398218","12",106842588,106860412,2
"SRR5398213","12",109252045,109254334,1
"SRR5398217","12",109252045,109254334,4
"SRR5398216","12",109252045,109254334,41
"SRR5398214","12",109252045,109254334,1
"SRR5398218","12",109252045,109254334,10
"SRR5398213","12",110025741,110029635,1
"SRR5398216","12",110025741,110029635,2
"SRR5398213","12",123586746,123590449,12
"SRR5398217","12",123586746,123590449,28
"SRR5398216","12",123586746,123590449,72
"SRR5398215","12",123586746,123590449,14
"SRR5398214","12",123586746,123590449,18
"SRR5398218","12",123586746,123590449,4
"SRR5398213","12",123671506,123687035,1
"SRR5398213","12",123679188,123687035,1
"SRR5398217","12",123679188,123687035,2
"SRR5398213","12",133191488,133192003,3
"SRR5398217","12",133191488,133192003,2
"SRR5398216","12",133191488,133192003,8
"SRR5398215","12",133191488,133192003,6
"SRR5398214","12",133191488,133192003,1
"SRR5398218","12",133191488,133192003,2
"SRR5398213","13",20064450,20083032,1
"SRR5398216","13",20064450,20083032,4
"SRR5398214","13",20064450,20083032,3
"SRR5398213","13",32078833,32124875,2
"SRR5398217","13",32078833,32124875,1
"SRR5398214","13",32078833,32124875,3
"SRR5398213","13",39719235,39727548,1
"SRR5398217","13",39719235,39727548,1
"SRR5398214","13",39719235,39727548,2
"SRR5398213","13",42155290,42174144,1
"SRR5398214","13",42155290,42174144,3
"SRR5398213","13",46723220,46728984,4
"SRR5398217","13",46723220,46728984,8
"SRR5398216","13",46723220,46728984,17
"SRR5398215","13",46723220,46728984,3
"SRR5398214","13",46723220,46728984,4
"SRR5398218","13",46723220,46728984,2
"SRR5398213","13",49460106,49467960,1
"SRR5398217","13",49460106,49467960,2
"SRR5398216","13",49460106,49467960,1
"SRR5398215","13",49460106,49467960,1
"SRR5398214","13",49460106,49467960,1
"SRR5398218","13",49460106,49467960,2
"SRR5398213","13",52658098,52659249,1
"SRR5398217","13",52658098,52659249,1
"SRR5398216","13",52658098,52659249,1
"SRR5398213","13",60439687,60460540,4
"SRR5398217","13",60439687,60460540,24
"SRR5398216","13",60439687,60460540,63
"SRR5398215","13",60439687,60460540,9
"SRR5398214","13",60439687,60460540,9
"SRR5398218","13",60439687,60460540,14
"SRR5398213","13",75621762,75727098,1
"SRR5398217","13",75621762,75727098,15
"SRR5398216","13",75621762,75727098,29
"SRR5398215","13",75621762,75727098,13
"SRR5398214","13",75621762,75727098,2
"SRR5398218","13",75621762,75727098,16
"SRR5398213","13",75713181,75761038,12
